OID_,Region,Site_Code,SiteID,Site_name,Habitat,Subregion,StationID,First_Year_surveyed,length_m,Depth_ft,latDD,lonDD,latDeg,latMin,lonDeg,lonMin
132,FKNMS,5P4,40,Jaap Reef,P,LK,404,1996,22,9,24.5857,-81.5826,24.0,35.142,-81.0,34.956
152,FKNMS,9S1,50,Carysfort Shallow,OS,UK,501,1996,22,6,25.2201,-80.21049999999998,25.0,13.206,-80.0,12.63
153,FKNMS,9S1,50,Carysfort Shallow,OS,UK,502,1996,22,8,25.2208,-80.2107,25.0,13.248,-80.0,12.642
154,FKNMS,9S1,50,Carysfort Shallow,OS,UK,503,1996,22,8,25.2222,-80.2098,25.0,13.332,-80.0,12.588
155,FKNMS,9S1,50,Carysfort Shallow,OS,UK,504,1996,22,12,25.2222,-80.2098,25.0,13.332,-80.0,12.588
156,FKNMS,9S2,51,Grecian Rocks,OS,UK,511,1996,23,11,25.1075,-80.30679999999998,25.0,6.45,-80.0,18.408
157,FKNMS,9S2,51,Grecian Rocks,OS,UK,512,1996,23,11,25.1075,-80.30679999999998,25.0,6.45,-80.0,18.408
158,FKNMS,9S2,51,Grecian Rocks,OS,UK,513,1996,22,21,25.1075,-80.3069,25.0,6.45,-80.0,18.414
159,FKNMS,9S2,51,Grecian Rocks,OS,UK,514,1996,23,14,25.1075,-80.3069,25.0,6.45,-80.0,18.414
160,FKNMS,9S3,52,Molasses Shallow,OS,UK,521,1996,23,19,25.0088,-80.37649999999998,25.0,0.528,-80.0,22.59
161,FKNMS,9S3,52,Molasses Shallow,OS,UK,522,1996,22,22,25.0091,-80.375,25.0,0.546,-80.0,22.5
162,FKNMS,9S3,52,Molasses Shallow,OS,UK,523,1996,21,23,25.0088,-80.37439999999998,25.0,0.528,-80.0,22.464
163,FKNMS,9S3,52,Molasses Shallow,OS,UK,524,1996,23,28,25.0097,-80.3745,25.0,0.582,-80.0,22.47
164,FKNMS,9S4,53,Conch Shallow,OS,UK,531,1996,22,18,24.9553,-80.458,24.0,57.318,-80.0,27.48
165,FKNMS,9S4,53,Conch Shallow,OS,UK,532,1996,21,16,24.9553,-80.458,24.0,57.318,-80.0,27.48
166,FKNMS,9S4,53,Conch Shallow,OS,UK,533,1996,22,16,24.9562,-80.45709999999998,24.0,57.372,-80.0,27.426
167,FKNMS,9S4,53,Conch Shallow,OS,UK,534,1996,23,17,24.9562,-80.45709999999998,24.0,57.372,-80.0,27.426
168,FKNMS,7S1,54,Alligator Shallow,OS,MK,541,1996,22,16,24.8457,-80.62399999999998,24.0,50.742,-80.0,37.44
169,FKNMS,7S1,54,Alligator Shallow,OS,MK,542,1996,22,16,24.8457,-80.62399999999998,24.0,50.742,-80.0,37.44
170,FKNMS,7S1,54,Alligator Shallow,OS,MK,543,1996,22,10,24.8468,-80.62269999999998,24.0,50.808,-80.0,37.362
171,FKNMS,7S1,54,Alligator Shallow,OS,MK,544,1996,22,11,24.8468,-80.62269999999998,24.0,50.808,-80.0,37.362
172,FKNMS,7S2,55,Tennessee Shallow,OS,MK,551,1996,24,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
173,FKNMS,7S2,55,Tennessee Shallow,OS,MK,552,1996,23,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
174,FKNMS,7S2,55,Tennessee Shallow,OS,MK,553,1996,23,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
175,FKNMS,7S2,55,Tennessee Shallow,OS,MK,554,1996,22,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
176,FKNMS,5S1,56,Sombrero Shallow,OS,MK,561,1996,20,17,24.6253,-81.11159999999998,24.0,37.518,-81.0,6.696
177,FKNMS,5S1,56,Sombrero Shallow,OS,MK,562,1996,20,17,24.6269,-81.1092,24.0,37.614,-81.0,6.552
178,FKNMS,5S1,56,Sombrero Shallow,OS,MK,563,1996,20,20,24.6258,-81.1092,24.0,37.548,-81.0,6.552
179,FKNMS,5S1,56,Sombrero Shallow,OS,MK,564,1996,20,9,24.6255,-81.1104,24.0,37.53,-81.0,6.624
180,FKNMS,5S2,57,Looe Key Shallow,OS,LK,571,1996,21,24,24.5453,-81.4079,24.0,32.718,-81.0,24.474
181,FKNMS,5S2,57,Looe Key Shallow,OS,LK,572,1996,23,24,24.5452,-81.4071,24.0,32.712,-81.0,24.426
182,FKNMS,5S2,57,Looe Key Shallow,OS,LK,573,1996,22,22,24.5453,-81.4063,24.0,32.718,-81.0,24.378
183,FKNMS,5S2,57,Looe Key Shallow,OS,LK,574,1996,22,25,24.5453,-81.4063,24.0,32.718,-81.0,24.378
184,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,581,1996,24,8,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
185,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,582,1996,22,9,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
186,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,583,1996,24,5,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
187,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,584,1996,23,9,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
188,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,591,1996,22,14,24.4796,-81.7176,24.0,28.776,-81.0,43.056
189,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,592,1996,24,17,24.4796,-81.7176,24.0,28.776,-81.0,43.056
190,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,593,1996,24,9,24.4798,-81.7158,24.0,28.788,-81.0,42.948
191,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,594,1996,21,9,24.4798,-81.7158,24.0,28.788,-81.0,42.948
192,FKNMS,5S5,60,Rock Key Shallow,OS,LK,601,1996,23,15,24.4545,-81.8589,24.0,27.27,-81.0,51.534
193,FKNMS,5S5,60,Rock Key Shallow,OS,LK,602,1996,23,16,24.4545,-81.8589,24.0,27.27,-81.0,51.534
194,FKNMS,5S5,60,Rock Key Shallow,OS,LK,603,1996,21,17,24.4545,-81.8589,24.0,27.27,-81.0,51.534
195,FKNMS,5S5,60,Rock Key Shallow,OS,LK,604,1996,22,9,24.4548,-81.857,24.0,27.288,-81.0,51.42
196,FKNMS,2S1,61,Sand Key Shallow,OS,LK,611,1996,22,21,24.452,-81.8775,24.0,27.12,-81.0,52.65
197,FKNMS,2S1,61,Sand Key Shallow,OS,LK,612,1996,22,18,24.452,-81.8775,24.0,27.12,-81.0,52.65
198,FKNMS,2S1,61,Sand Key Shallow,OS,LK,613,1996,22,18,24.452,-81.8775,24.0,27.12,-81.0,52.65
199,FKNMS,2S1,61,Sand Key Shallow,OS,LK,614,1996,21,21,24.452,-81.8775,24.0,27.12,-81.0,52.65
200,FKNMS,9D1,70,Carysfort Deep,OD,UK,701,1996,22,52,25.2208,-80.2099,25.0,13.248,-80.0,12.594
201,FKNMS,9D1,70,Carysfort Deep,OD,UK,702,1996,22,53,25.2208,-80.2099,25.0,13.248,-80.0,12.594
202,FKNMS,9D1,70,Carysfort Deep,OD,UK,703,1996,22,47,25.2227,-80.20869999999998,25.0,13.362,-80.0,12.522
203,FKNMS,9D1,70,Carysfort Deep,OD,UK,704,1996,22,44,25.2227,-80.20869999999998,25.0,13.362,-80.0,12.522
204,FKNMS,9D3,72,Molasses Deep,OD,UK,721,1996,22,44,25.0072,-80.3756,25.0,0.432,-80.0,22.536
205,FKNMS,9D3,72,Molasses Deep,OD,UK,722,1996,22,44,25.0072,-80.3756,25.0,0.432,-80.0,22.536
206,FKNMS,9D3,72,Molasses Deep,OD,UK,723,1996,22,47,25.0073,-80.3743,25.0,0.438,-80.0,22.458
207,FKNMS,9D3,72,Molasses Deep,OD,UK,724,1996,23,49,25.0073,-80.3743,25.0,0.438,-80.0,22.458
208,FKNMS,9D4,73,Conch Deep,OD,UK,731,1996,22,54,24.9519,-80.4513,24.0,57.114,-80.0,27.078
209,FKNMS,9D4,73,Conch Deep,OD,UK,732,1996,24,54,24.9519,-80.4513,24.0,57.114,-80.0,27.078
210,FKNMS,9D4,73,Conch Deep,OD,UK,733,1996,24,53,24.9519,-80.4513,24.0,57.114,-80.0,27.078
211,FKNMS,9D4,73,Conch Deep,OD,UK,734,1996,21,52,24.9519,-80.4513,24.0,57.114,-80.0,27.078
212,FKNMS,7D1,74,Alligator Deep,OD,MK,741,1996,22,37,24.8452,-80.6209,24.0,50.712,-80.0,37.254
213,FKNMS,7D1,74,Alligator Deep,OD,MK,742,1996,22,38,24.8452,-80.6209,24.0,50.712,-80.0,37.254
214,FKNMS,7D1,74,Alligator Deep,OD,MK,743,1996,24,38,24.8452,-80.6209,24.0,50.712,-80.0,37.254
215,FKNMS,7D1,74,Alligator Deep,OD,MK,744,1996,23,36,24.8452,-80.6209,24.0,50.712,-80.0,37.254
216,FKNMS,7D2,75,Tennessee Deep,OD,MK,751,1996,23,44,24.7527,-80.7578,24.0,45.162,-80.0,45.468
